时间,区域,出租车数量,公交车数量,气温,风向,风速,雨量,AQI,空气质量
2019-04-10 09:00:00,浦东新区,50731,222,14.1,3,4.2,0.0,52,良
2019-04-10 12:00:00,浦东新区,47124,178,14.9,3,4.1,0.0,64,良
2019-04-10 15:00:00,浦东新区,52245,157,16.1,98,3.5,0.0,53,良
2019-04-10 18:00:00,浦东新区,50814,191,12.7,67,5.1,0.0,44,优
2019-04-10 21:00:00,浦东新区,57866,141,10.7,71,2.8,0.0,54,良
2019-04-11 00:00:00,浦东新区,60440,20,9.6,56,2.2,0.0,57,良
2019-04-11 03:00:00,浦东新区,53995,0,7.6,54,0.6,0.0,72,良
2019-04-11 06:00:00,浦东新区,48953,69,8.1,71,1,0.0,67,良
2019-04-11 09:00:00,浦东新区,60554,162,14.3,86,3.6,0.0,53,良
2019-04-11 12:00:00,浦东新区,58906,168,16.8,128,4.6,0.0,45,优
2019-04-11 15:00:00,浦东新区,58641,149,17.6,68,5.8,0.0,56,良
2019-04-11 18:00:00,浦东新区,47336,184,15.4,71,4.1,0.0,64,良
2019-04-11 21:00:00,浦东新区,53261,109,12.9,107,3.9,0.0,90,良
2019-04-12 00:00:00,浦东新区,56216,14,12.3,113,2.1,0.0,89,良
2019-04-12 03:00:00,浦东新区,52947,0,12.3,112,2.1,0.0,84,良
2019-04-12 06:00:00,浦东新区,52384,69,12.8,141,2.2,0.0,67,良
2019-04-12 09:00:00,浦东新区,61350,176,16.4,129,3.6,0.0,72,良
2019-04-12 12:00:00,浦东新区,55093,187,19.5,160,4.9,0.0,65,良
2019-04-12 15:00:00,浦东新区,54361,184,19.6,64,4.9,0.0,73,良
2019-04-12 18:00:00,浦东新区,53400,192,16,78,3.3,0.0,57,良
2019-04-12 21:00:00,浦东新区,60460,112,15.1,291,4.8,0.0,62,良
2019-04-13 00:00:00,浦东新区,62202,17,11.7,273,3.2,0.5,74,良
2019-04-13 03:00:00,浦东新区,50856,0,10.8,269,4.5,0.0,68,良
2019-04-13 06:00:00,浦东新区,56913,84,9.7,281,5.1,0.0,58,良
2019-04-13 09:00:00,浦东新区,57430,205,12.2,296,8.5,0.0,93,良
2019-04-13 12:00:00,浦东新区,46050,166,13.9,290,11,0.0,94,良
2019-04-13 15:00:00,浦东新区,45986,160,14.4,298,9.6,0.0,85,良
2019-04-13 18:00:00,浦东新区,48105,206,11.9,289,6.5,0.0,74,良
2019-04-13 21:00:00,浦东新区,56709,134,9.4,254,4.7,0.0,62,良
2019-04-14 00:00:00,浦东新区,54392,14,9,266,6.7,0.0,72,良
2019-04-14 03:00:00,浦东新区,47788,0,6.9,267,8.5,0.9,59,良
2019-04-14 06:00:00,浦东新区,53059,81,7.6,272,7.3,0.0,53,良
2019-04-14 09:00:00,浦东新区,57059,202,9.1,286,9.1,0.0,109,轻度污染
2019-04-14 12:00:00,浦东新区,46525,183,11.9,277,11.1,0.0,123,轻度污染
2019-04-14 15:00:00,浦东新区,48850,159,16.1,296,6.9,0.0,87,良
2019-04-14 18:00:00,浦东新区,46429,203,15.8,261,4.3,0.0,104,轻度污染
2019-04-14 21:00:00,浦东新区,51878,137,11.3,260,0.6,0.0,109,轻度污染
2019-04-15 00:00:00,浦东新区,57848,6,8.7,////,0,0.0,118,轻度污染
2019-04-15 03:00:00,浦东新区,50566,0,9.3,225,2.8,0.0,112,轻度污染
2019-04-15 06:00:00,浦东新区,52859,82,11.5,210,2.3,0.0,94,良
2019-04-15 09:00:00,浦东新区,53317,220,17.5,232,5.5,0.0,90,良
2019-04-15 12:00:00,浦东新区,40785,177,21.1,184,6.1,0.0,83,良
2019-04-15 15:00:00,浦东新区,43497,159,22.4,187,4.4,0.0,82,良
2019-04-15 18:00:00,浦东新区,45123,197,20.3,164,1.2,0.0,99,良
2019-04-15 21:00:00,浦东新区,53799,151,18.2,173,1.6,0.0,104,轻度污染
2019-04-16 00:00:00,浦东新区,55629,14,18.2,222,2,0.0,108,轻度污染
2019-04-16 03:00:00,浦东新区,50373,0,17.4,216,3.9,0.0,94,良
2019-04-16 06:00:00,浦东新区,53075,90,17.6,214,3,0.0,90,良
2019-04-16 09:00:00,浦东新区,49717,218,19.6,241,2.5,0.0,105,轻度污染
2019-04-16 12:00:00,浦东新区,44726,186,24.3,282,3.2,0.0,127,轻度污染
2019-04-16 15:00:00,浦东新区,44018,154,17.8,348,6.4,0.0,119,轻度污染
2019-04-16 18:00:00,浦东新区,46043,199,15.3,17,4,0.0,88,良
2019-04-16 21:00:00,浦东新区,56880,135,12.9,55,3.1,0.0,70,良
2019-04-17 00:00:00,浦东新区,55880,16,12.1,113,2.2,0.0,80,良
2019-04-17 03:00:00,浦东新区,46149,0,12.7,112,2.5,0.0,75,良
2019-04-17 06:00:00,浦东新区,55186,82,13.2,136,4.8,0.0,84,良
2019-04-17 09:00:00,浦东新区,52663,224,17.1,136,7.1,0.0,107,轻度污染
2019-04-17 15:00:00,浦东新区,51033,154,18.8,120,5,0.0,97,良
2019-04-17 18:00:00,浦东新区,47539,185,16.6,132,4.6,0.0,96,良
2019-04-17 21:00:00,浦东新区,58300,134,15.5,132,5.3,0.0,75,良
2019-04-18 00:00:00,浦东新区,55243,13,16.8,143,4.6,0.0,75,良
2019-04-18 03:00:00,浦东新区,54281,0,17.3,123,3.2,0.0,74,良
2019-04-18 06:00:00,浦东新区,52362,76,17.8,142,3.4,0.0,75,良
2019-04-18 09:00:00,浦东新区,62332,180,22.1,212,2.1,0.0,72,良
2019-04-18 12:00:00,浦东新区,57392,166,24,228,5.5,0.0,79,良
2019-04-18 15:00:00,浦东新区,55741,144,26.3,224,4.8,0.0,112,轻度污染
2019-04-18 18:00:00,浦东新区,49405,183,24.2,150,3.2,0.0,83,良
2019-04-18 21:00:00,浦东新区,53176,119,20.8,174,2.3,0.0,90,良
2019-04-19 00:00:00,浦东新区,55674,11,18.7,////,0,0.0,94,良
2019-04-19 03:00:00,浦东新区,51287,0,19,238,1.7,0.2,100,良
2019-04-19 06:00:00,浦东新区,50599,70,18.7,288,2.9,0.0,145,轻度污染
2019-04-19 09:00:00,浦东新区,62717,181,19.5,321,1.6,0.0,212,重度污染
2019-04-19 12:00:00,浦东新区,50712,180,21.4,86,2.1,0.0,242,重度污染
2019-04-19 15:00:00,浦东新区,51066,150,21.7,60,2.4,0.0,195,中度污染
2019-04-19 18:00:00,浦东新区,52003,188,19.1,67,4.6,0.0,179,中度污染
2019-04-19 21:00:00,浦东新区,56670,112,15,20,4,0.0,40,优
2019-04-20 00:00:00,浦东新区,58164,13,12.1,320,3.4,0.6,32,优
2019-04-20 03:00:00,浦东新区,47824,0,11.9,325,6.2,0.1,33,优
2019-04-20 06:00:00,浦东新区,49013,82,12.1,359,4.1,0.1,53,良
2019-04-20 09:00:00,浦东新区,61879,200,12.3,317,3.2,0.3,54,良
2019-04-20 12:00:00,浦东新区,45963,180,13.9,304,8.1,0.0,73,良
2019-04-20 15:00:00,浦东新区,46799,150,16.2,348,5.6,0.0,89,良
2019-04-20 18:00:00,浦东新区,47349,188,14.8,340,6.4,0.0,79,良
2019-04-20 21:00:00,浦东新区,54810,125,13.2,345,2.7,0.0,76,良
2019-04-21 00:00:00,浦东新区,54042,10,12.5,334,3.4,0.0,67,良
2019-04-21 03:00:00,浦东新区,47347,0,9.4,////,0,0.0,67,良
2019-04-21 06:00:00,浦东新区,51057,84,6.9,230,1.2,0.0,75,良
2019-04-21 09:00:00,浦东新区,47040,219,14.5,70,3.2,0.0,64,良
2019-04-21 12:00:00,浦东新区,42535,167,17.8,75,4.1,0.0,53,良
2019-04-21 15:00:00,浦东新区,44717,160,19,57,3.1,0.0,52,良
2019-04-21 18:00:00,浦东新区,45300,205,17.1,65,2.8,0.0,57,良
2019-04-21 21:00:00,浦东新区,53728,140,13.4,120,1.1,0.0,73,良
2019-04-22 00:00:00,浦东新区,58027,14,10,////,0.2,0.0,71,良
2019-04-22 03:00:00,浦东新区,51554,0,8.5,264,0.7,0.0,80,良
2019-04-22 06:00:00,浦东新区,54986,84,8.4,////,0,0.0,82,良
2019-04-22 09:00:00,浦东新区,51234,234,18,299,3.1,0.0,93,良
2019-04-22 12:00:00,浦东新区,44075,174,23,287,3,0.0,110,轻度污染
2019-04-22 15:00:00,浦东新区,44494,146,23.4,46,2.9,0.0,114,轻度污染
2019-04-22 18:00:00,浦东新区,47976,190,21.7,145,3,0.0,142,轻度污染
2019-04-22 21:00:00,浦东新区,53010,124,18.2,163,1.5,0.0,132,轻度污染
2019-04-23 06:00:00,浦东新区,56164,81,13,////,0.1,0.0,/,/
2019-04-23 09:00:00,浦东新区,49488,224,20.2,187,3,0.0,84,良
2019-04-23 12:00:00,浦东新区,42603,171,24.8,134,3.6,0.0,107,轻度污染
2019-04-23 15:00:00,浦东新区,47279,157,25.8,157,4.2,0.0,85,良
2019-04-23 18:00:00,浦东新区,46467,200,23.8,147,2.3,0.0,58,良
2019-04-23 21:00:00,浦东新区,56481,131,18.5,112,3.1,0.0,67,良
2019-04-24 00:00:00,浦东新区,53712,10,16.4,144,2.2,0.0,52,良
2019-04-24 03:00:00,浦东新区,49252,0,14.7,101,1.3,0.0,48,优
2019-04-24 06:00:00,浦东新区,52767,92,14.9,93,1.2,0.0,49,优
2019-04-24 09:00:00,浦东新区,46942,224,19.8,176,0.6,0.0,65,良
2019-04-24 12:00:00,浦东新区,48920,171,21.7,75,3.7,0.0,80,良
2019-04-24 15:00:00,浦东新区,47555,155,22.6,67,3.8,0.0,103,轻度污染
2019-04-24 18:00:00,浦东新区,46488,193,21.1,64,1.3,0.0,78,良
2019-04-24 21:00:00,浦东新区,59041,148,17.3,////,0,0.0,117,轻度污染
2019-04-25 00:00:00,浦东新区,61221,12,13.5,////,0,0.0,139,轻度污染
2019-04-25 03:00:00,浦东新区,62103,0,11.2,////,0,0.0,139,轻度污染
2019-04-25 06:00:00,浦东新区,54169,69,11,////,0,0.0,135,轻度污染
2019-04-25 09:00:00,浦东新区,55493,174,22.6,320,0.8,0.0,156,中度污染
2019-04-25 12:00:00,浦东新区,52615,179,25.8,75,5.6,0.0,105,轻度污染
2019-04-25 15:00:00,浦东新区,54832,146,26.3,58,6.8,0.0,77,良
2019-04-25 18:00:00,浦东新区,46583,182,24,106,2.6,0.0,74,良
2019-04-25 21:00:00,浦东新区,52030,117,19.9,107,1,0.0,87,良
2019-04-26 00:00:00,浦东新区,55179,16,16,145,0.9,0.0,84,良
2019-04-26 03:00:00,浦东新区,53025,0,14.9,157,1.6,0.0,84,良
2019-04-26 06:00:00,浦东新区,57614,75,14.6,128,1.1,0.0,73,良
2019-04-26 09:00:00,浦东新区,64812,176,22.8,176,5.1,0.0,48,优
